INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/04', '39489959', '21127581248', 530.000000, 540.000000, 528.000000, 536.000000, 6.000000, '33316')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/05', '34839391', '18761831567', 536.000000, 542.000000, 535.000000, 542.000000, 6.000000, '28512')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/06', '55614434', '30572783229', 555.000000, 555.000000, 541.000000, 549.000000, 7.000000, '55462')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/07', '53392763', '30018630685', 554.000000, 570.000000, 553.000000, 565.000000, 16.000000, '47905')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/08', '62957148', '36339702855', 580.000000, 580.000000, 571.000000, 580.000000, 15.000000, '56426')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/11', '52771778', '30535694908', 577.000000, 584.000000, 574.000000, 584.000000, 4.000000, '49539')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/12', '52605212', '30958142918', 583.000000, 597.000000, 582.000000, 591.000000, 7.000000, '59595')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/13', '75707681', '45419255149', 595.000000, 605.000000, 593.000000, 605.000000, 14.000000, '59966')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/14', '90309708', '53477747672', 587.000000, 597.000000, 587.000000, 592.000000, -13.000000, '111849')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/15', '100998199', '61876473170', 621.000000, 625.000000, 601.000000, 601.000000, 9.000000, '105961')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/18', '50388664', '30406611574', 608.000000, 608.000000, 594.000000, 607.000000, 6.000000, '49008')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/19', '52947466', '32934404720', 618.000000, 632.000000, 613.000000, 627.000000, 20.000000, '55490')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/20', '95484470', '61279319857', 633.000000, 650.000000, 631.000000, 647.000000, 20.000000, '95577')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/21', '97590371', '64624578866', 640.000000, 679.000000, 640.000000, 673.000000, 26.000000, '115004')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/22', '134238314', '88023707664', 649.000000, 665.000000, 649.000000, 649.000000, -24.000000, '235186')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/25', '98608285', '62583576696', 642.000000, 646.000000, 626.000000, 633.000000, -16.000000, '154134')
